year,month,motiie,kashiya,bunjou
2012,10,28894 ,33939 ,21064 
2012,11,28216 ,30106 ,21479 
2012,12,26748 ,27451 ,21444 
2013,1,23561 ,24649 ,20794 
2013,2,22987 ,22257 ,23238 
2013,3,24879 ,25986 ,20184 
2013,4,28357 ,27842 ,21388 
2013,5,28902 ,26614 ,23911 
2013,6,30699 ,30504 ,22029 
2013,7,31475 ,31012 ,21704 
2013,8,31379 ,29548 ,23042 
2013,9,32128 ,31892 ,23968 
2013,10,33967 ,35059 ,20502 
2013,11,34580 ,35266 ,21269 
2013,12,31858 ,35634 ,21902 
2014,1,24955 ,29953 ,22580 
2014,2,22891 ,27744 ,18385 
2014,3,21650 ,28925 ,18468 
2014,4,23799 ,31177 ,19710 
2014,5,22288 ,27434 ,17437 
2014,6,24864 ,31057 ,19415 
2014,7,23524 ,28623 ,20042 
2014,8,24250 ,28435 ,20669 
2014,9,24617 ,30082 ,20296 
2014,10,24245 ,33628 ,20820 
2014,11,24462 ,32655 ,20000 
2014,12,23725 ,32478 ,19606 
2015,1,20282 ,26856 ,20042 
2015,2,20813 ,25672 ,20445 
2015,3,21352 ,30243 ,17560 
2015,4,23294 ,30603 ,21120 
2015,5,22542 ,28208 ,20594 
2015,6,26643 ,35600 ,25489 
2015,7,25396 ,33977 ,18239 
2015,8,25245 ,33470 ,21212 
